time,172.17.40.3:8081,172.17.40.5:8081,172.17.40.4:8081,172.17.40.6:8081
1,35.86956522956375,91.0891088888799,1.0000000002037268,0
2,35.86956522956375,91.0891088888799,49.462365594771256,62.222222212709575
3,55.102040817091705,73.68421053000415,49.462365594771256,62.222222212709575
4,55.102040817091705,73.68421053000415,72.72727273644284,59.57446808840016
5,56.56565657962423,87.62886596072177,72.72727273644284,59.57446808840016
6,56.56565657962423,87.62886596072177,65.9574468127102,55.681818189071585
7,52.04081632735639,74.99999996796997,65.9574468127102,55.681818189071585
8,52.04081632735639,74.99999996796997,70.52631577546192,57.6086956567128
9,59.793814434892,69.07216493368362,70.52631577546192,57.6086956567128
10,59.793814434892,69.07216493368362,61.45833333611235,55.31914893950517
11,61.6161616312911,79.59183673608786,61.45833333611235,55.31914893950517
12,61.6161616312911,79.59183673608786,61.29032258491029,56.52173913545505
13,60.20408163381218,93.81443296985951,61.29032258491029,56.52173913545505
14,60.20408163381218,93.81443296985951,61.29032256956592,16.666666663837127
15,79.79797979881867,63.44086020363382,61.29032256956592,16.666666663837127
16,79.79797979881867,63.44086020363382,46.73913043859939,38.461538455080515
17,81.63265306307302,79.54545455563938,46.73913043859939,38.461538455080515
18,81.63265306307302,79.54545455563938,60.67415731045293,41.93548387423599
19,81.25000002273737,67.3684210558725,60.67415731045293,41.93548387423599
20,81.25000002273737,67.3684210558725,64.89361700912255,52.17391304765609
21,68.04123713167895,88.77551022638528,64.89361700912255,52.17391304765609
22,68.04123713167895,88.77551022638528,50.549450554010654,60.204081633440964
23,73.46938775624601,66.31578947704203,50.549450554010654,60.204081633440964
24,73.46938775624601,66.31578947704203,56.66666667275692,56.04395604934206
25,76.76767676823727,64.64646463181029,56.66666667275692,56.04395604934206
26,76.76767676823727,64.64646463181029,61.702127663428186,58.69565217876139
27,67.70833331931195,77.65957447304224,61.702127663428186,58.69565217876139
28,67.70833331931195,77.65957447304224,76.84210524804567,39.56043955402554
29,70.58823529258609,77.6595744722682,76.84210524804567,39.56043955402554
30,70.58823529258609,77.6595744722682,71.73913044018111,36.04651162376531
31,77.0833333364913,78.94736842492239,71.73913044018111,36.04651162376531
32,77.0833333364913,78.94736842492239,73.1958762906781,38.63636363106451
33,64.94845360984814,75.26881720965562,73.1958762906781,38.63636363106451
34,64.94845360984814,75.26881720965562,65.11627907936904,59.13978493549802
35,73.46938775661724,74.48979592010981,65.11627907936904,59.13978493549802
36,73.46938775661724,74.48979592010981,50.54945054107718,61.05263156677777
37,65.97938144513942,71.13402062047062,50.54945054107718,61.05263156677777
38,65.97938144513942,71.13402062047062,67.03296703880555,58.695652163906885
39,73.9583333364913,77.65957447304224,67.03296703880555,58.695652163906885
40,73.9583333364913,77.65957447304224,43.33333332654244,38.04347827342025
41,79.79797979881867,76.59574468514121,43.33333332654244,38.04347827342025
42,79.79797979881867,76.59574468514121,65.90909091724629,32.58426966677014
43,81.63265304330733,76.59574468514121,65.90909091724629,32.58426966677014
44,81.63265304330733,77.89473684609193,58.42696628321556,40.00000000420388
45,84.69387753268657,77.89473684609193,58.42696628321556,40.00000000420388
46,84.69387753268657,76.23762376171648,54.34782609096243,34.73684209863619
47,68.04123709863981,76.23762376171648,54.34782609096243,34.73684209863619
48,68.04123709863981,77.41935484426192,65.21739129336169,32.2222222256536
49,75.53191489801422,77.41935484426192,65.21739129336169,32.2222222256536
50,75.53191489801422,81.25000000303166,55.5555555469322,36.66666667025075
