time,172.17.40.3:8081,172.17.40.5:8081,172.17.40.6:8081,172.17.40.6:8081,172.17.40.4:8081
1,27.173913038801846,61.45833332120674,10.101010103333715,10.101010103333715,0.99009901009357
2,27.173913038801846,61.45833332120674,10.101010103333715,10.101010103333715,41.30434782954269
3,49.45054945558402,50.000000002709136,82.10526316179674,82.10526316179674,41.30434782954269
4,49.45054945558402,50.000000002709136,82.10526316179674,82.10526316179674,64.77272726378266
5,42.528735626603655,67.3684210558725,68.42105263508593,68.42105263508593,64.77272726378266
6,42.528735626603655,67.3684210558725,68.42105263508593,68.42105263508593,48.91304348230116
7,65.90909091765971,51.111111116707306,48.88888888115481,48.88888888115481,48.91304348230116
8,65.90909091765971,51.111111116707306,48.88888888115481,48.88888888115481,42.0454545506785
9,51.04166666881409,47.25274725713163,86.4583333364913,86.4583333364913,42.0454545506785
10,51.04166666881409,47.25274725713163,86.4583333364913,86.4583333364913,69.66292135621886
11,41.37931033957898,64.70588236349005,68.68686868717677,68.68686868717677,69.66292135621886
12,41.37931033957898,64.70588236349005,68.68686868717677,68.68686868717677,40.6593406525708
13,64.36781608341782,47.826086948544315,52.747252752463034,52.747252752463034,40.6593406525708
14,64.36781608341782,47.826086948544315,52.747252752463034,52.747252752463034,40.86021505673725
15,42.391304351195856,38.88888888309507,88.77551022712773,88.77551022712773,40.86021505673725
16,42.391304351195856,38.88888888309507,88.77551022712773,88.77551022712773,61.17647058158371
17,43.4782608842478,69.56521737966487,64.51612902047218,64.51612902047218,61.17647058158371
18,43.4782608842478,69.56521737966487,64.51612902047218,64.51612902047218,55.681818188658184
19,68.88888887767853,46.31578947581661,54.34782609135785,54.34782609135785,55.681818188658184
20,68.88888887767853,46.31578947581661,54.34782609135785,54.34782609135785,40.449438196386744
21,49.99999999169592,41.66666666805617,85.10638298370525,85.10638298370525,40.449438196386744
22,49.99999999169592,41.66666666805617,85.10638298370525,85.10638298370525,64.36781608383598
23,39.53488371623765,71.42857143491076,58.06451611865967,58.06451611865967,64.36781608383598
24,39.53488371623765,71.42857143491076,58.06451611865967,58.06451611865967,44.08602151948829
25,66.26506023492784,51.04166666881409,61.70212764814506,61.70212764814506,44.08602151948829
26,66.26506023492784,51.04166666881409,61.70212764814506,61.70212764814506,42.22222222670457
27,38.636363630651104,32.58426966677014,78.94736840557358,78.94736840557358,42.22222222670457
28,38.636363630651104,32.58426966677014,78.94736840557358,78.94736840557358,65.90909090022146
29,43.01075269095237,67.44186045728547,63.82978722187204,63.82978722187204,65.90909090022146
30,43.01075269095237,67.44186045728547,63.82978722187204,63.82978722187204,44.56521738322377
31,66.27906975951268,67.44186045728547,64.21052630326112,64.21052630326112,44.56521738322377
32,66.27906975951268,55.17241378638408,64.21052630326112,64.21052630326112,44.444444437707446
33,44.18604651844543,55.17241378638408,76.59574468514121,76.59574468514121,44.444444437707446
34,44.18604651844543,42.69662920693377,76.59574468514121,76.59574468514121,73.56321838128788
35,42.04545455109191,42.69662920693377,65.21739129296624,65.21739129296624,73.56321838128788
36,42.04545455109191,64.04494382756405,65.21739129296624,65.21739129296624,58.06451613319644
37,67.46987951217358,64.04494382756405,65.95744681232318,65.95744681232318,58.06451613319644
